name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,2024-07-10,28,25,26,33.4,25,26.6,23.7,87.5,5.6,100,66.67,rain,0,,29.2,26.3,232.2,1013.1,58.2,13.8,259,22.5,9,10,2024-07-10T06:37:47,2024-07-10T19:06:08,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote"
lagos,2024-07-11,26.7,25.3,26,26.7,25.3,26,22.7,82.2,5.5,77.4,70.83,rain,0,,33.8,31.3,238.2,1013.6,89.4,21.2,196.7,17,8,10,2024-07-11T06:37:59,2024-07-11T19:06:11,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
lagos,2024-07-12,25.9,24.9,25.3,25.9,24.9,25.3,22.8,85.8,14.4,80.6,100,rain,0,,32.4,25.2,248,1014.3,99.9,14,24.5,2,1,10,2024-07-12T06:38:11,2024-07-12T19:06:14,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
lagos,2024-07-13,26.1,24.5,25.2,26.1,24.5,25.2,22.6,85.6,15.8,71,87.5,rain,0,,32.8,24.5,236.7,1014.7,99.5,13.4,41.6,3.5,1,10,2024-07-13T06:38:23,2024-07-13T19:06:16,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
lagos,2024-07-14,26.3,25,25.8,26.3,25,25.8,22.5,82.1,4.4,51.6,62.5,rain,0,,32.4,29.9,232.8,1015.1,79.5,22,243.2,21.1,8,10,2024-07-14T06:38:34,2024-07-14T19:06:17,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,
lagos,2024-07-15,26.1,25.5,25.7,26.1,25.5,25.7,22.1,80.2,1.5,54.8,33.33,rain,0,,32.4,29.2,233,1015.4,84.3,23.8,142.8,12,5,10,2024-07-15T06:38:46,2024-07-15T19:06:18,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,
lagos,2024-07-16,26.2,25.4,25.7,26.2,25.4,25.7,21.8,79.1,0.8,48.4,25,rain,0,,33.8,32,237.6,1015,96.5,24.1,163.9,14.1,6,10,2024-07-16T06:38:57,2024-07-16T19:06:18,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
lagos,2024-07-17,26.2,25.4,25.7,26.2,25.4,25.7,21.9,79.2,2,35.5,33.33,rain,0,,34.9,31.7,238.2,1014.8,99.1,23.6,186.5,16.4,7,10,2024-07-17T06:39:07,2024-07-17T19:06:17,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
lagos,2024-07-18,26.3,25.2,25.8,26.3,25.2,25.8,21.6,78.1,0.5,41.9,4.17,rain,0,,32.9,27.4,242.1,1016.4,94.5,23.8,135,11.7,6,10,2024-07-18T06:39:17,2024-07-18T19:06:16,0.4,Overcast,Cloudy skies throughout the day.,cloudy,
lagos,2024-07-19,26,25.4,25.7,26,25.4,25.7,21.6,78.1,1.3,51.6,20.83,rain,0,,36.7,32,235.3,1016.8,79.6,24.1,194.9,16.8,6,10,2024-07-19T06:39:27,2024-07-19T19:06:14,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
lagos,2024-07-20,26,25.4,25.6,26,25.4,25.6,21.9,80,2.7,38.7,29.17,rain,0,,35.5,28.4,234.8,1016.5,79,23.2,210.1,18.3,6,10,2024-07-20T06:39:36,2024-07-20T19:06:11,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
lagos,2024-07-21,26,25,25.4,26,25,25.4,21.8,80.2,2.6,22.6,25,rain,0,,29.5,29.5,238.1,1016,52.1,20.9,216.3,18.8,8,10,2024-07-21T06:39:45,2024-07-21T19:06:07,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
lagos,2024-07-22,25.7,25.2,25.4,25.7,25.2,25.4,21.5,79.2,1,12.9,29.17,rain,0,,29.9,29.5,232.8,1016.1,72.3,24.1,178.3,15.3,6,10,2024-07-22T06:39:54,2024-07-22T19:06:03,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
lagos,2024-07-23,25.9,24.9,25.4,25.9,24.9,25.4,21.5,79.4,2.5,16.1,20.83,rain,0,,31,29.9,228.7,1016.4,58.9,21.9,218.1,18.9,8,10,2024-07-23T06:40:02,2024-07-23T19:05:58,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
lagos,2024-07-24,25.7,25,25.4,25.7,25,25.4,21.2,77.8,0.9,16.1,20.83,rain,0,,27,25.6,228.8,1016.7,63.9,24.1,199.8,17.1,8,10,2024-07-24T06:40:10,2024-07-24T19:05:52,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
